area ;year ;vole_spring;vole_autumn;small_mustelid;generalist_predator;avian_predator 
north ;1989;-0.417892437333333;0.27441323675;1.9198330465;-0.173722507;-0.471666064
north ;1990;-1.46565868166667;0.017847557;1.78748858025;0.0528670585;-0.537043971
north ;1991;-0.559814355;0.92440383;0.1812794205;-0.12401429;-0.427502313
north ;1992;0.438567005;0.905193144333333;-0.06479979;0.113654424666667;-0.326576918
north ;1993;-0.782843778;0.975665326;0.1726468166;-0.1713173368;-0.445209387
north ;1994;-1.16623912;-0.3461816005;-0.05188680625;-0.29047484075;-0.458409754
north ;1995;-1.568424074;-0.469076092;-0.523596699;-1.3320629005;-0.58561808
north ;1996;-0.7828842155;0.376353527;0.1896824485;-1.0819912315;-0.450460475
north ;1997;-0.40347938;0.41034013375;0.2712755295;-0.4235567195;-0.55997345
north ;1998;0.0563138883333333;1.02783520766667;0.00104537733333337;-0.204471812666667;-0.42494571
north ;1999;-0.2345188535;0.31702048275;1.0131668795;-0.3215885965;-0.421276397
north ;2000;-0.324665723;0.016930131;1.34378882433333;-0.412204228666667;-0.582200177
north ;2001;-0.726656677333333;0.3900512415;0.641946194333333;-0.298078009666667;-0.626166421
north ;2002;-0.480001968333333;0.948468906333333;0.668496748333333;0.074854682;-0.419526051
north ;2003;NA;NA;NA;NA;NA
north ;2004;-1.366119597;-0.066836613;0.6704851925;-0.6074697535;-0.543253748
north ;2005;-0.425585629666667;0.36584537175;0.0257260772;0.0368207268;-0.684711252
north ;2006;-2.241588335;0.778836551;-0.9747142485;-0.3968368755;-0.361254876
north ;2007;0.283990452666667;1.67534233633333;-0.507662692;-0.4692813685;-0.255287152
north ;2008;-1.99368679133333;-1.85853175533333;0.878842599;0.26524905075;-0.493716751
north ;2009;-2.083518648;0.144135428;-1.6875789095;-0.393529822;-0.81083334
north ;2010;-0.2503967935;1.28522312;-1.79236274733333;-0.940972828333333;-0.148646415
north ;2011;0.999355931;2.6810844585;0.706388949666667;0.0772955486666667;-0.008548189
east ;1989;-0.417892437333333;0.27441323675;1.9198330465;-0.173722507;-0.471666064
east ;1990;-1.46565868166667;0.017847557;1.78748858025;0.0528670585;-0.537043971
