area ;year ;vole_spring;vole_autumn;small_mustelid;generalist_predator;avian_predator 
west;2008;0.946558247333333;2.125115598;-0.649061466;0.51328880975;0.35016124425
west;2009;0.3067055315;0.07893088075;0.17157061375;-0.12794743725;0.50507952725
west;2010;-0.8803158504;0.1437682744;-0.534909609166667;-0.267689917666667;-0.184175094666667
west;2011;-0.3696488225;1.1191362025;-0.5227755362;-0.0119089364;0.2199067536
south;1989;1.064510827;1.174231949;1.07456956866667;-0.773648035;0.134797370333333
south;1990;-0.165916665666667;0.8787074755;1.856306199;0.647325227;-0.1839698712
south;1991;0.795681996333333;1.55454077566667;-0.2759768745;0.5915718965;0.20878139425
south;1992;-0.7559072315;0.365981208;0.0163824577777778;0.069114375;0.104033981444444
south;1993;-0.6382559292;NA;0.483104244857143;-0.0751980102857143;-0.311768496285714
south;1994;-0.299578657833333;0.5918376792;-1.271374472;-0.349092968571429;0.0844080391428571
south;1995;-0.0141747103333334;0.533771736;-0.2474954984;0.3825802432;0.0096241712
south;1996;-0.350886349;0.461909196;0.914476014;-0.7188493494;0.1852341044
south;1997;-1.379396877;0.0410740763333333;-0.2271278515;-0.163005301;-0.1907649845
south;1998;-0.85438374175;0.2976897196;0.0421576521428571;-0.148591058428571;-0.129360969285714
south;1999;0.321463657;1.1673725106;0.342245198;-0.0748478054285714;0.22649927
south;2000;-0.26538531;0.3129342196;0.993519073833333;0.376791539166667;-0.103719502833333
south;2001;-0.5671176234;0.325906295285714;0.203296719125;0.344736495;-0.0203507315
south;2002;-0.13839341175;0.7721167155;-0.204079349;0.31999522175;-0.01573437175
south;2003;-0.3450521538;0.135052954;0.150731671;0.525989469;0.2318941706
south;2004;-0.29336394625;-0.048156633;0.589295052333333;0.195246189833333;-0.142073186333333
south;2005;-0.241306601;0.451840579;-0.4996041775;0.154929556;0.042281962
south;2006;-1.0163902748;-0.4410142166;0.1438228686;-0.3399669204;0.2029961948
south;2007;-0.981215706166667;0.365998246;-0.73880712825;-0.58411914725;-0.128276831375
south;2008;-1.633310447;-0.401729783;-0.475800616666667;-0.445425984666667;-0.0614101936666667
south;2009;-1.016705451;0.190945097666667;0.41911116475;-0.213235152875;0.17767794125
south;2010;-1.00255812875;0.7982932515;-0.36401825125;-0.00038505174999999;-0.35638925725
south;2011;0.0861741395;0.6042237075;-0.46598971;-0.561135146;0.1980309692
